Composition
Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3
Ca0.25Sr0.25Ba0.25Nd0.25TiO3
Ca0.25Sr0.25Ba0.25Sm0.25TiO3
Ca0.25Sr0.25Ba0.25Gd0.25TiO3
Ca0.25Sr0.25Ba0.25Dy0.25TiO3
Ca0.25Sr0.25Ba0.25Ho0.25TiO3
Ca0.25Sr0.25Ba0.25Eu0.25TiO3
Ca0.33Sr0.33Ba0.33Ti0.45Zr0.45Nb0.1O3
Ca0.33Sr0.33Ba0.33Ti0.4Zr0.4Nb0.2O3
Ca0.33Sr0.33Ba0.33Ti0.33Zr0.33Nb0.33O3
La0.9Sr0.1CoO3
Pr0.9Sr0.1MnO3
 Pr0.9Sr0.1FeO3
Ca0.2Sr0.2Ba0.2La0.2Pb0.2TiO3
NaWO3
KWO3
Sr0.9La0.1Zr0.25Sn0.25Ti0.25Hf0.25O3
 Ca0.25Sr0.25Ba0.25La0.25TiO3
Ca0.25Sr0.25Ba0.25Ce0.25TiO3
CaTiO3
La0.1Ca0.9TiO3
La0.15Ca0.85TiO3
La0.2Ca0.8TiO3
La0.25Ca0.75TiO3
Pr0.8Sr0.2MnO3
CaMnO3
Ca0.9Bi0.1MnO3
Pr0.9Sr0.1FeO3
Ca0.98Er0.02MnO3
Ca0.96Er0.02La0.02MnO3
Ca0.96Er0.02Sm0.02MnO3
Ca0.96Er0.02Yb0.02MnO3
La0.075Sm0.075Sr0.85TiO3-ẟ
CaMn0.06Nb0.02Ta0.02O3
EuTiO3
EuTi0.98Nb0.02O3
Ca0.9Yb0.1Mn0.98Nb0.02O3
Ca0.25Cu0.75IrO3
Ca0.9Y0.1Mn0.9Fe0.1O3
Ca0.9Y0.1MnO3
Ca0.9Y0.1Mn0.95Fe0.05O3
Ca0.9Y0.1Mn0.85Fe0.15O3
 La0.09Ba0.01CoO3
La0.07Ba0.03CoO3
La0.95Ba0.05CoO3
 SmCoO3
SmCo0.98Fe0.02O3
SmCo0.95Fe0.05O3
Sm0.98Sr0.02CoO3
Sm0.98Sr0.02Co0.98Fe0.02O3
Ca0.9Dy0.1MnO3
Ca0.9Dy0.05Yb0.05MnO3
Ca0.9Yb0.1MnO3
CaMn0.98Nb0.02O3
CaMn0.95Nb0.05O3
CaMn0.92Nb0.08O3
CaMn0.98Nb0.01Mo0.01O3
CaMn0.96Nb0.02W0.02O3
CaMn0.94Nb0.03W0.03O3
Ca0.99Gd0.01Mn0.99W0.01O3-ẟ
Ca0.98Gd0.02Mn0.98W0.02O3-ẟ
Ca0.97Gd0.03Mn0.97W0.03O3-ẟ
LaNiO3
PrNiO3
LaCo0.5Ru0.5O3
GdCo0.5Ru0.5O3
EuCo0.5Ru0.5O3
NdCo0.5Ru0.5O3
PrCo0.5Ru0.5O3
SmCo0.5Ru0.5O3
SrTi0.5Co0.5O3
Ba0.1Sr0.9Ti0.5Co0.5O3
Ba0.15Sr0.85Ti0.5Co0.5O3
Ba0.2Sr0.8Ti0.5Co0.5O3
Ca0.9Yb0.1MnO3-δ
Ca0.8Sr0.1Yb0.1MnO3-δ
Ca0.7Sr0.2Yb0.1MnO3-δ
Ca0.85Sr0.05Yb0.1MnO3-δ
Ca0.875Sr0.025Yb0.1MnO3
SrFe0.5Mo0.5O3
Sr0.99Ba0.01Fe0.5Mo0.5O3
Sr0.99La0.01Fe0.5Mo0.5O3
Sr0.98Ba0.02Fe0.5Mo0.5O3
Sr0.98La0.02Fe0.5Mo0.5O3
Sr0.7Ba0.3Fe0.5Mo0.5O3
Sr0.9La0.1TiO3
LaCo0.5Rh0.5O3
LaCr0.5Rh0.5O3
LaFe0.5Rh0.5O3
LaMn0.5Rh0.5O3
LaNi0.5Rh0.5O3
Ca0.9Nd0.1MnO3
Ca0.8Nd0.2MnO3
Ca0.95Nd0.05MnO3
Ca0.85Nd0.15MnO3
YCoO3
YCo0.98Ni0.02O3
YCo0.95Ni0.05O3
YCo0.93Ni0.07O3
CaFe0.5Mo0.5O3
Ca0.9Sr0.1Fe0.5Mo0.5O3
Ca0.8Sr0.2Fe0.5Mo0.5O3
Ca0.7Sr0.3Fe0.5Mo0.5O3
Ca0.99Nd0.01MnO3
Ca0.9Ce0.1MnO3
Ca0.9In0.1MnO3
Ca0.9La0.1MnO3
Ca0.9Pb0.1MnO3
Ca0.9Sb0.1MnO3
Ca0.9Sm0.1MnO3
